,Text,Source,Target,Polar_expression,Polarity
62,I can recommend this hotel to anyone .,['I'],['this hotel'],['recommend'],P
63,It was my first visit at the hotel and I have to say that I am very pleased with my experience .,['I'],['my experience'],['very pleased'],P
64,I would highly recommend the hotel to all my friends and colleagues visiting the area .,['I'],['the hotel'],['highly recommend'],P
65,"Overall it was a great experience , one I would gladly repeat .",['I'],['experience'],['great'],P
66,"Food was excellent , I only missed good coffee .. I enjoyed especially home made pastry and cakes .",['I'],['home made pastry'],['enjoyed'],P
67,I can recommend this hotel .,['I'],['this hotel'],['recommend'],P
68,"This was one of the most interesting hotels I 've stayed ever , in a district of Paris not commonly on the tourist map , but still just a short walk away from Montmartre and Gare du Nord for Eurostar and other high · speed rail connections and airport RER line B , this hotel was a great discovery for us .",['us'],['this hotel'],['a great discovery'],P
69,"We had an excellent vacation , nothing but credit .",['We'],['vacation'],['excellent'],P
70,We enjoyed the all · in as well and can be recommended .,['We'],['all'],['can be recommended'],P
71,We are looking forward to hear Calimera everywhere again and to enjoy the really great hospitality of these people .....,['We'],['hospitality'],['really great'],P
72,We hade a bigger room with a place to relax and sit down .,['We'],['room'],['hade'],P
73,We really liked that .,['We'],['that'],['really liked'],P
74,We complained to the campsite but they were unfriendly and weren 't interested .,['We'],['the campsite'],"[""weren 't interested""]",N
75,We recommend it to everybody !,['We'],['it'],['recommend'],P
76,"I had a studio room with a "" kitchen "" ... Well the kichen was old , gross and kind in a "" cupboard "" .",['I'],['studio room'],"['with a "" kitchen ""']",N
77,"Save that , I definitely recommend the hotel .",['I'],['the hotel'],['definitely recommend'],P
78,We were very satisfied with the hotel .,['We'],['the hotel'],['very satisfied'],P
79,As a young couple the hotel gave us what we expected .,['us'],['what we expected'],['gave'],P
80,"Overall , I liked the rest .",['I'],['the rest'],['liked'],P
81,One note · I would like a more fun evening at the hotel .,['I'],['more fun evening'],['would like'],N
82,I would also like to in the rooms was free water,['I'],['in the rooms free water'],['would like'],N
83,I would certainly stay here again .,['I'],['here'],['would certainly stay again'],P
84,I was very disapointed by the breakfast services as I asked for a double expresso instead of the normal filter coffe they wanted to charge me for that ...,['I'],['the breakfast services'],['very disapointed'],N
85,I 'll come back here next year !,['I'],['here'],"[""'ll come back""]",P
86,All was good and i would come again to visit,['i'],['All'],['would come again'],P
87,I travel the world and have never seen such a friendly and professional staff !,['I'],['staff'],['such a friendly'],P
88,There is no other hotel in Deventer for me but The Gilde .,['me'],['The Gilde'],['There is no other hotel'],P
89,"I would recommend this hotel to everyone , business travellers and families !",['I'],['this hotel'],['recommend'],P
90,"I am a customer of this hotel for over 10 years , but I have never experienced such a miserable service this year .",['I'],['service'],['never experienced'],N
91,From arriving at the hotel the staff couldn 't do enough for us .,['us'],['the staff'],"[""couldn 't do enough""]",P
92,The only thing we missed was snorkeling and a reef and a dutch channel on television .,['we'],['snorkeling'],['missed'],N
93,"During the stay we were not able to connect to the Wifi , not even with the help of the staff .",['we'],['the Wifi'],['not able to connect'],N
94,"Straight forward and friendly reception personnel , kindly helped us to order a table for Flamenco , with good recommendations to go about town .",['us'],['reception personnel'],['friendly'],P
95,I strongly recommend it .,['I'],['it'],['strongly recommend'],P
96,I would recommend this hotel both for business as for pleaseure / family visit of Cologne .,['I'],['this hotel'],['recommend'],P
97,We enjoyed fast and smooth check · in and check · out procedures .,['We'],['check · out procedures'],['fast'],P
98,We were surprised by the excellent cuisine in the hotel .,['We'],['cuisine'],['excellent'],P
99,We are glad we chose the Casa 400 .,['We'],['the Casa 400'],['glad'],P
100,We highly recommend this hotel .,['We'],['this hotel'],['highly recommend'],P
101,"All in all , I would not go there again",['I'],['there'],['would not go again'],N
102,"On the day I had been in a number of meetings , so when coming back , I did appreciate that the hotel was quiet and offered a restaurant which had a great selection of different foods .",['I'],['the hotel'],['appreciate'],P
103,"Do try their fish , I had a delicious meal that evening .",['I'],['meal'],['delicious'],P
104,We had a week in Melia Hotel and enjoyed it .,['We'],['it'],['enjoyed'],P
105,I stayed here as an invited guest and would probably not stay here if I had to pay .,['I'],['here'],['would probably not stay'],N
106,"For a family stay , I would have chosen something different .",['I'],['something different'],['would have chosen'],N
107,I just can recommend this hotel to everybody and you should eat at the Asian · Restaurant ... thats just a dream ...,['I'],['this hotel'],['recommend'],P
108,"On the other hand a big advantage of the hostel is its placement at the very centre of Madrid with a walking distance to Sol , Gran Via etc. I would recommend the hostel only for a short stay in the city .",['I'],['the hostel'],['recommend only for a short stay in the city'],N
109,"I had the most wonderfull time there , having fun all the time .... : )",['I'],['time'],['the most wonderfull'],P
110,"Otherwise , I would stay somewhere else .",['I'],['somewhere else'],['would stay'],N
111,"For me , this experience is worse than any hostel before .",['me'],['this experience'],['worse than any hostel before'],N
